actual,line,opp.line,outcomeline1,outcomeline2,PredProba,PredProba.opp,EV_1,EV_2,BestEV,makeBet,Bet,Net
1,170,-195,1700.0,512.8205128205128,0.42745120337577225,0.5725487966242278,726.6670457388128,293.614767499604,726.6670457388128,False,1,726.6670457388128
1,-190,160,526.3157894736843,1600.0,0.56504766999512,0.43495233000488,297.3935105237474,695.923728007808,695.923728007808,False,0,-1000.0
1,-230,195,434.78260869565213,1950.0,0.6748546381196331,0.3251453618803669,293.4150600520144,634.0334556667154,634.0334556667154,False,0,-1000.0
1,-655,505,152.67175572519085,5050.0,0.8423048781473238,0.1576951218526762,128.59616460264488,796.3603653560148,796.3603653560148,False,0,-1000.0
1,105,-125,1050.0,800.0,0.4193457533832209,0.5806542466167791,440.31304105238195,464.5233972934233,464.5233972934233,False,0,-1000.0
0,400,-500,4000.0,200.0,0.21308527204536945,0.7869147279546306,852.3410881814779,157.3829455909261,852.3410881814779,False,1,-1000.0
1,-185,165,540.5405405405405,1650.0,0.6347915316948998,0.36520846830510023,343.13055767291877,602.5939727034154,602.5939727034154,False,0,-1000.0
1,-7000,1900,14.285714285714285,19000.0,0.9999917640080876,8.235991912353136e-06,14.285596628686966,0.15648384633470958,14.285596628686966,False,1,14.285596628686966
1,290,-350,2900.0,285.7142857142857,0.25507726080486764,0.7449227391951323,739.7240563341162,212.83506834146638,739.7240563341162,False,1,739.7240563341162
0,-400,300,250.0,3000.0,0.7142543157512823,0.2857456842487177,178.56357893782058,857.2370527461532,857.2370527461532,False,0,857.2370527461532
0,-700,500,142.85714285714286,5000.0,0.8209204703572175,0.1790795296427825,117.27435290817392,895.3976482139126,895.3976482139126,False,0,895.3976482139126
1,300,-400,3000.0,250.0,0.2551651236779933,0.7448348763220067,765.49537103398,186.20871908050168,765.49537103398,False,1,765.49537103398
0,-140,120,714.2857142857143,1200.0,0.629310307158599,0.37068969284140096,449.5073622561422,444.82763140968115,449.5073622561422,False,1,-1000.0
1,-705,530,141.84397163120568,5300.0,0.8352569927216251,0.16474300727837488,118.47616918037237,873.1379385753869,873.1379385753869,False,0,-1000.0
0,750,-1100,7500.0,90.9090909090909,0.08111788319106199,0.918882116808938,608.3841239329649,83.53473789172163,608.3841239329649,False,1,-1000.0
1,-270,220,370.3703703703704,2200.0,0.7088178801398425,0.2911821198601575,262.5251407925343,640.6006636923465,640.6006636923465,False,0,-1000.0
0,-160,140,625.0,1400.0,0.6043692554069726,0.3956307445930274,377.7307846293579,553.8830424302383,553.8830424302383,False,0,553.8830424302383
1,130,-150,1300.0,666.6666666666667,0.4511969609461065,0.5488030390538935,586.5560492299385,365.8686927025957,586.5560492299385,False,1,586.5560492299385
0,130,-150,1300.0,666.6666666666667,0.3901671332204146,0.6098328667795854,507.21727318653893,406.5552445197236,507.21727318653893,False,1,-1000.0
0,175,-210,1750.0,476.1904761904762,0.3887134948624059,0.6112865051375941,680.2486160092103,291.0888119702829,680.2486160092103,False,1,-1000.0
1,-110,-110,909.0909090909091,909.0909090909091,0.5293323276904577,0.4706676723095423,481.2112069913252,427.87970209958394,481.2112069913252,False,1,481.2112069913252
0,475,-650,4750.0,153.84615384615387,0.16090322725405853,0.8390967727459415,764.2903294567781,129.09181119168332,764.2903294567781,False,1,-1000.0
1,-160,140,625.0,1400.0,0.6420741143736488,0.3579258856263512,401.2963214835305,501.0962398768917,501.0962398768917,False,0,-1000.0
0,155,-180,1550.0,555.5555555555555,0.38405598754275105,0.615944012457249,595.2867806912641,342.191118031805,595.2867806912641,False,1,-1000.0
0,-230,190,434.78260869565213,1900.0,0.6874598249558911,0.3125401750441089,298.8955760677787,593.8263325838069,593.8263325838069,False,0,593.8263325838069
0,400,-500,4000.0,200.0,0.24601362450310085,0.7539863754968992,984.0544980124034,150.79727509937985,984.0544980124034,False,1,-1000.0
1,-2500,1100,40.0,11000.0,0.9909339257631142,0.009066074236885768,39.63735703052457,99.72681660574345,99.72681660574345,False,0,-1000.0
0,210,-260,2100.0,384.61538461538464,0.3527426631041419,0.6472573368958581,740.7595925186979,248.94512957533004,740.7595925186979,False,1,-1000.0
0,-400,330,250.0,3300.0,0.7568093502833755,0.24319064971662452,189.20233757084387,802.5291440648609,802.5291440648609,False,0,802.5291440648609
1,-420,335,238.0952380952381,3350.0,0.7376455978568007,0.2623544021431993,175.62990425161922,878.8872471797175,878.8872471797175,False,0,-1000.0
0,140,-165,1400.0,606.060606060606,0.3638415841980341,0.636158415801966,509.3782178772477,385.55055503149447,509.3782178772477,False,1,-1000.0
1,115,-135,1150.0,740.7407407407408,0.4094747041155442,0.5905252958844558,470.89590973287585,437.4261450995969,470.89590973287585,False,1,470.89590973287585
0,125,-145,1250.0,689.655172413793,0.43901894325093443,0.5609810567490656,548.773679063668,386.88348741314866,548.773679063668,False,1,-1000.0
1,295,-360,2950.0,277.77777777777777,0.3137942984174001,0.6862057015826,925.6931803313303,190.61269488405554,925.6931803313303,False,1,925.6931803313303
1,160,-180,1600.0,555.5555555555555,0.3785094120557097,0.6214905879442902,605.6150592891355,345.272548857939,605.6150592891355,False,1,605.6150592891355
0,355,-445,3550.0,224.71910112359552,0.26248430171541404,0.737515698284586,931.8192710897198,165.73386478305304,931.8192710897198,False,1,-1000.0
1,-360,300,277.77777777777777,3000.0,0.7154276934205954,0.2845723065794046,198.7299148390543,853.7169197382137,853.7169197382137,False,0,-1000.0
1,115,-135,1150.0,740.7407407407408,0.39352786523172695,0.6064721347682731,452.557045016486,449.238618346869,452.557045016486,False,1,452.557045016486
1,-220,185,454.54545454545456,1850.0,0.6083860981673299,0.3916139018326701,276.53913553060454,724.4857183904396,724.4857183904396,False,0,-1000.0
